rank,team,rank_change_since_previous,points,ranking_date
1,Spain,1,1995.98,2026-06-11
2,Argentina,-1,1970.37,2026-06-11
3,France,0,1948.97,2026-06-11
4,England,0,1922.83,2026-06-11
5,Brazil,1,1804.92,2026-06-11
6,Morocco,1,1803.99,2026-06-11
7,Portugal,-2,1787.85,2026-06-11
8,Belgium,1,1778.36,2026-06-11
9,Netherlands,-1,1775.54,2026-06-11
10,Mexico,4,1754.30,2026-06-11
11,Colombia,2,1739.89,2026-06-11
12,Germany,-2,1726.22,2026-06-11
13,Croatia,-2,1723.05,2026-06-11
14,Switzerland,5,1710.88,2026-06-11
15,Italy,-3,1704.73,2026-06-11
16,USA,1,1690.33,2026-06-11
17,Japan,1,1673.68,2026-06-11
18,Senegal,-3,1653.43,2026-06-11
19,Norway,12,1651.29,2026-06-11
20,Uruguay,-4,1634.70,2026-06-11
21,Denmark,0,1619.47,2026-06-11
22,IR Iran,-2,1609.85,2026-06-11
23,Austria,0,1598.82,2026-06-11
24,Egypt,5,1597.04,2026-06-11
25,Ecuador,-2,1592.59,2026-06-11
26,Nigeria,0,1585.02,2026-06-11
27,Türkiye,-5,1582.54,2026-06-11
28,Australia,-1,1581.51,2026-06-11
29,Algeria,-1,1576.80,2026-06-11
30,Canada,0,1571.34,2026-06-11
31,Côte d'Ivoire,2,1565.47,2026-06-11
32,Korea Republic,-7,1558.72,2026-06-11
33,Ukraine,-1,1549.29,2026-06-11
34,Paraguay,7,1542.48,2026-06-11
35,Russia,1,1529.60,2026-06-11
36,Poland,-1,1526.18,2026-06-11
37,Sweden,1,1525.58,2026-06-11
38,Wales,-1,1516.95,2026-06-11
39,Hungary,3,1506.39,2026-06-11
40,Serbia,3,1502.13,2026-06-11
41,Congo DR,5,1495.48,2026-06-11
42,Scotland,0,1503.34,2026-06-11
43,Cameroon,1,1481.24,2026-06-11
44,Panama,-10,1478.41,2026-06-11
45,Slovakia,2,1473.66,2026-06-11
46,Greece,2,1473.19,2026-06-11
47,Venezuela,2,1469.18,2026-06-11
48,Czechia,-8,1467.26,2026-06-11
49,Chile,2,1458.20,2026-06-11
50,Peru,2,1457.69,2026-06-11
51,Costa Rica,2,1456.03,2026-06-11
52,Romania,2,1455.89,2026-06-11
53,Mali,2,1455.59,2026-06-11
54,South Africa,6,1451.24,2026-06-11
55,Republic of Ireland,3,1441.10,2026-06-11
56,Slovenia,3,1441.09,2026-06-11
57,Tunisia,-12,1426.58,2026-06-11
58,Saudi Arabia,3,1425.52,2026-06-11
59,Qatar,-3,1411.06,2026-06-11
60,Uzbekistan,-10,1409.73,2026-06-11
61,Bosnia and Herzegovina,3,1408.93,2026-06-11
62,Burkina Faso,0,1406.99,2026-06-11
63,Iraq,-6,1404.17,2026-06-11
64,Cabo Verde,3,1402.97,2026-06-11
65,Ghana,8,1387.00,2026-06-11
66,Honduras,-1,1378.97,2026-06-11
